"SAMPLING_RESULTS_ID","SAMPLING_EVENTS_ID","CUSTODY_NUMBER","PARAMETER","METHOD","NUMBER_RESULT","REPORTED_RESULT","ALPHA_RESULT","FLAG","UNITS","MDL","RDL","ANALYSIS_DATE","ANALYZED_BY","RECORD_CREATED","PARAMETERS_ID","CONTRACT_LAB_ID","SAMPLE_ID","COLLECT_DATE","REASON","ROWID"
"58","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".205","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","PAR a S","2010-04-05 00:00:00","","{67BF7624-732B-4694-9CE2-E56207B0468B}"
"59","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".182","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","PAR a SD","2010-04-05 00:00:00","","{2075DF29-BD5E-46F6-96A3-B96EFCB6D094}"
"60","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".06","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","HIC d","2010-04-05 00:00:00","","{78225C92-97B7-4D36-95D0-6B6E3ED86CA0}"
"62","","","Total Phosphorous","Total Phosphorus (as P) by EPA 365.2","0",".043","    ","","mg/L","0.006","0.01","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","ela a","2010-04-05 00:00:00","","{F1158B9E-848B-475E-B90E-8EA0088914F4}"
"63","","","Copper, Cu","Metals per ICP by EPA 200.7","0","0","    ","U","mg/L","0.003","0.01","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a","2010-04-05 00:00:00","","{E4670F5A-E02F-4721-A058-202DD3A822AB}"
"64","","","Iron, Fe","Metals per ICP by EPA 200.7","1","1.11","    ","","mg/L","0.01","0.03","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a","2010-04-05 00:00:00","","{5E4E8A65-0F09-45A1-B1A0-58FCBE983C3B}"
"65","","","Copper, Cu","Metals per ICP by EPA 200.7","1","1.03","    ","","mg/L","0.003","0.01","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a S","2010-04-05 00:00:00","","{3F0ADD05-934D-4CC6-A7D3-167625F1A598}"
"66","","","Iron, Fe","Metals per ICP by EPA 200.7","2","2.28","    ","","mg/L","0.01","0.03","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a S","2010-04-05 00:00:00","","{FE00B457-381C-4CE0-AF14-9F7381A4D313}"
"67","","","Copper, Cu","Metals per ICP by EPA 200.7","1","1.04","    ","","mg/L","0.003","0.01","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a SD","2010-04-05 00:00:00","","{DF17C50C-F95C-454D-BAB3-00B97A1FCB0A}"
"68","","","Iron, Fe","Metals per ICP by EPA 200.7","2","2.33","    ","","mg/L","0.01","0.03","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a SD","2010-04-05 00:00:00","","{8BEBEDB2-E697-4F9C-86EF-3B013488F60A}"
"69","","","Copper, Cu","Metals per ICP by EPA 200.7","0","0","    ","U","mg/L","0.003","0.01","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","HIC d","2010-04-05 00:00:00","","{953C4101-ADE1-4EE6-84C9-EC3DDD1356F4}"
"70","","","Iron, Fe","Metals per ICP by EPA 200.7","1",".922","    ","","mg/L","0.01","0.03","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","HIC d","2010-04-05 00:00:00","","{42DCE7BA-C2DA-4F9A-81DD-2A5A40E1880C}"
"75","","","Hardness, Total (as CaCO3)","Hardness, Total by SM2340B","217","217","    ","","mg/L","0.5","0.5","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a","2010-04-05 00:00:00","","{85676285-C74E-4802-A6AD-0CA7DC131AD8}"
